"subject","trial","dots_left","dots_right","correct","rt","confidence"
1,1,50,70,FALSE,3312,3
1,2,50,72,FALSE,1701,4
1,3,50,74,FALSE,1588,4
1,4,50,76,TRUE,1086,2
1,5,50,76,FALSE,1706,2
1,6,50,78,TRUE,980,6
1,7,50,78,TRUE,1497,5
1,8,76,50,TRUE,962,6
1,9,76,50,TRUE,965,4
1,10,50,74,TRUE,874,5
1,11,74,50,TRUE,1418,4
1,12,72,50,TRUE,1045,6
1,13,50,72,TRUE,1193,4
1,14,50,70,TRUE,1441,3
1,15,50,70,FALSE,1115,2
1,16,72,50,TRUE,951,6
1,17,72,50,TRUE,969,6
1,18,50,70,TRUE,1895,3
1,19,70,50,TRUE,821,6
1,20,68,50,TRUE,958,6
1,21,68,50,FALSE,1393,2
1,22,50,70,TRUE,1936,3
1,23,70,50,TRUE,957,5
1,24,50,68,TRUE,2216,2
1,25,68,50,TRUE,878,5
1,26,66,50,TRUE,1467,5
1,27,66,50,TRUE,951,6
1,28,64,50,TRUE,942,3
1,29,50,64,TRUE,2131,2
1,30,62,50,TRUE,1191,2
1,31,62,50,TRUE,935,3
1,32,50,60,TRUE,1756,2
1,33,60,50,TRUE,981,4
1,34,50,58,TRUE,1267,3
1,35,58,50,TRUE,914,2
1,36,50,56,TRUE,900,4
1,37,50,56,FALSE,2028,2
1,38,50,58,TRUE,931,3
1,39,50,58,FALSE,2039,2
1,40,50,60,FALSE,1617,2
1,41,62,50,TRUE,1389,4
1,42,50,62,TRUE,1028,2
1,43,60,50,FALSE,3286,1
1,44,50,62,FALSE,1487,1
1,45,64,50,TRUE,924,4
1,46,50,64,TRUE,1140,3
1,47,50,62,TRUE,2734,4
1,48,62,50,TRUE,793,5
1,49,50,60,TRUE,784,4
1,50,50,60,TRUE,4056,1
1,51,50,58,TRUE,895,3
1,52,58,50,TRUE,1603,2
1,53,50,56,TRUE,979,3
1,54,50,56,TRUE,912,4
1,55,54,50,TRUE,922,4
1,56,50,54,FALSE,3158,2
1,57,50,56,TRUE,1182,3
1,58,56,50,TRUE,821,5
1,59,54,50,TRUE,14058,1
1,60,54,50,TRUE,803,5
1,61,50,52,FALSE,1288,4
1,62,54,50,FALSE,1065,5
1,63,50,56,FALSE,1210,5
1,64,50,58,TRUE,1022,3
1,65,50,58,FALSE,855,3
1,66,50,60,TRUE,1044,4
1,67,60,50,TRUE,1093,6
1,68,50,58,FALSE,2215,4
1,69,60,50,TRUE,1095,1
1,70,50,60,TRUE,1078,1
1,71,50,58,TRUE,1379,5
1,72,58,50,TRUE,915,4
1,73,56,50,TRUE,857,4
1,74,56,50,FALSE,885,4
1,75,58,50,FALSE,3477,3
1,76,60,50,TRUE,1335,5
1,77,50,60,TRUE,1138,5
1,78,58,50,TRUE,838,3
1,79,58,50,FALSE,887,5
1,80,50,60,TRUE,1397,1
1,81,60,50,TRUE,605,1
1,82,58,50,FALSE,1052,3
1,83,60,50,TRUE,972,3
1,84,50,60,FALSE,3284,2
1,85,50,62,TRUE,1004,4
1,86,62,50,TRUE,655,6
1,87,50,60,TRUE,817,6
1,88,60,50,TRUE,999,6
1,89,58,50,TRUE,1688,5
1,90,58,50,FALSE,1863,3
1,91,50,60,FALSE,823,5
1,92,62,50,FALSE,1269,5
1,93,64,50,TRUE,1211,5
1,94,64,50,TRUE,957,3
1,95,62,50,TRUE,936,2
1,96,50,62,TRUE,925,2
1,97,50,60,TRUE,1125,4
1,98,60,50,TRUE,2545,4
1,99,58,50,TRUE,878,5
1,100,50,58,TRUE,772,5
1,101,56,50,TRUE,884,5
1,102,56,50,TRUE,1050,6
1,103,50,54,TRUE,900,1
1,104,54,50,TRUE,901,2
1,105,50,52,TRUE,2194,4
1,106,50,52,TRUE,823,4
1,107,52,50,TRUE,1005,2
1,108,50,52,FALSE,840,5
1,109,50,54,TRUE,775,2
1,110,54,50,TRUE,833,4
1,111,52,50,TRUE,2649,2
1,112,52,50,TRUE,941,2
1,113,52,50,TRUE,3898,1
1,114,50,52,FALSE,1403,2
1,115,50,54,FALSE,1721,2
1,116,56,50,TRUE,998,4
1,117,56,50,FALSE,993,2
1,118,50,58,TRUE,1010,2
1,119,58,50,TRUE,731,4
1,120,56,50,TRUE,1094,3
2,1,70,50,TRUE,1972.67499999907,3
2,2,70,50,TRUE,4161.86999999991,2
2,3,50,68,TRUE,1394.74500000142,5
2,4,50,68,TRUE,1254.29999999869,6
2,5,66,50,FALSE,1374.39000000086,5
2,6,68,50,TRUE,3154.61499999947,4
2,7,68,50,TRUE,1625.47500000073,4
2,8,66,50,TRUE,1155.22000000055,4
2,9,66,50,FALSE,1361.41999999927,3
2,10,50,68,TRUE,1070.54999999855,6
2,11,68,50,TRUE,1304.7549999992,5
2,12,50,66,TRUE,1041.74499999863,5
2,13,66,50,TRUE,1038.26499999923,4
2,14,50,64,TRUE,912.829999999303,4
2,15,50,64,TRUE,991.079999999783,6
2,16,62,50,TRUE,1176.11500000021,3
2,17,50,62,TRUE,915.635000001203,6
2,18,50,60,TRUE,973.574999999983,6
2,19,50,60,TRUE,1275.51999999923,3
2,20,50,58,TRUE,876.130000000558,5
2,21,50,58,TRUE,896.41500000107,4
2,22,56,50,FALSE,1329.60500000081,2
2,23,50,58,TRUE,1120.49499999921,5
2,24,58,50,FALSE,2018.98999999867,1
2,25,60,50,TRUE,1998.46499999876,2
2,26,50,60,TRUE,949.32499999959,5
2,27,58,50,TRUE,1978.5950000005,3
2,28,58,50,TRUE,1103.14500000095,3
2,29,50,56,TRUE,639.460000000327,3
2,30,56,50,FALSE,1488.53000000054,3
2,31,58,50,TRUE,1767.065,2
2,32,50,58,TRUE,1045.06000000038,3
2,33,50,56,TRUE,1163.91000000112,3
2,34,56,50,TRUE,1190.04499999937,3
2,35,50,54,TRUE,723.995000000286,3
2,36,50,54,TRUE,1071.00499999979,3
2,37,50,52,FALSE,1057.12499999936,3
2,38,54,50,FALSE,1286.7499999993,5
2,39,56,50,TRUE,1064.00500000018,5
2,40,56,50,TRUE,1115.75500000072,4
2,41,54,50,FALSE,965.01999999964,4
2,42,56,50,TRUE,1415.71000000111,1
2,43,50,56,TRUE,1042.3950000004,5
2,44,54,50,FALSE,2728.74500000034,1
2,45,56,50,TRUE,1023.1100000001,1
2,46,50,56,TRUE,987.134999999398,6
2,47,54,50,FALSE,1268.3649999999,4
2,48,50,56,TRUE,870.090000000317,6
2,49,56,50,FALSE,1990.74999999901,2
2,50,58,50,TRUE,964.765000000625,6
2,51,58,50,TRUE,2544.31499999919,3
2,52,50,56,TRUE,1156.86000000095,4
2,53,50,56,TRUE,1050.99499999959,4
2,54,50,54,TRUE,1017.89499999903,6
2,55,50,54,TRUE,1056.16499999995,4
2,56,52,50,TRUE,1033.12000000005,5
2,57,52,50,FALSE,1565.9450000003,1
2,58,54,50,FALSE,866.955000001326,3
2,59,56,50,TRUE,928.509999999718,3
2,60,56,50,TRUE,2091.63999999873,4
2,61,50,54,TRUE,916.80500000075,4
2,62,54,50,TRUE,964.340000000433,4
2,63,50,52,FALSE,2761.5650000007,2
2,64,54,50,FALSE,909.814999999071,3
2,65,56,50,TRUE,723.185000000754,2
2,66,56,50,FALSE,1332.88999999966,3
2,67,50,58,TRUE,963.864999999729,6
2,68,50,58,TRUE,653.715000000375,6
2,69,56,50,FALSE,2602.39499999987,3
2,70,58,50,TRUE,1102.79000000079,3
2,71,50,58,TRUE,845.095000000583,6
2,72,56,50,TRUE,1067.40999999965,6
2,73,50,56,TRUE,996.170000000362,6
2,74,50,54,TRUE,2393.89500000107,3
2,75,50,54,TRUE,1220.11500000011,3
2,76,50,52,TRUE,1569.76500000019,3
2,77,52,50,FALSE,1102.80500000043,3
2,78,50,54,TRUE,923.714999999007,5
2,79,50,54,TRUE,1358.92500000045,5
2,80,50,52,TRUE,2643.49500000026,1
2,81,50,52,TRUE,1142.16500000114,3
2,82,50,52,TRUE,932.385000000068,5
2,83,50,52,TRUE,915.884999998525,5
2,84,52,50,FALSE,3401.96999999898,3
2,85,54,50,FALSE,1295.92000000045,3
2,86,50,56,TRUE,3932.84999999922,1
2,87,50,56,TRUE,1808.79499999899,3
2,88,54,50,FALSE,1134.65999999974,2
2,89,56,50,FALSE,1379.6600000005,2
2,90,58,50,FALSE,2923.24999999983,2
2,91,50,60,TRUE,1307.72500000056,2
2,92,60,50,TRUE,1008.385000001,5
2,93,58,50,TRUE,1572.5849999999,3
2,94,58,50,TRUE,1060.06499999965,3
2,95,56,50,TRUE,1186.31500000082,3
2,96,56,50,TRUE,1051.7949999994,3
2,97,50,54,TRUE,1069.99499999982,3
2,98,50,54,TRUE,1842.37500000023,3
2,99,52,50,FALSE,1101.88000000018,4
2,100,54,50,TRUE,1164.15499999857,2
2,101,50,54,TRUE,1823.06500000053,1
2,102,52,50,FALSE,1658.09999999875,2
2,103,54,50,TRUE,1086.47500000009,4
2,104,50,54,TRUE,1088.07499999966,4
2,105,50,52,TRUE,1268.36000000004,3
2,106,52,50,TRUE,1028.32499999931,5
2,107,52,50,TRUE,964.75000000099,3
2,108,52,50,FALSE,2028.80999999982,1
2,109,50,54,FALSE,1483.93499999837,2
2,110,50,56,FALSE,1114.89000000071,1
2,111,58,50,FALSE,2860.59000000026,2
2,112,50,60,TRUE,943.390000000363,5
2,113,60,50,TRUE,926.250000000407,6
2,114,50,58,TRUE,908.209999999614,6
2,115,58,50,TRUE,893.834999998973,6
2,116,56,50,TRUE,974.110000001034,6
2,117,56,50,TRUE,1675.90500000009,3
2,118,50,54,TRUE,916.13000000146,6
2,119,54,50,FALSE,2522.05500000127,3
2,120,56,50,TRUE,1017.61499999883,5
3,1,70,50,TRUE,919.480000004114,3
3,2,50,70,FALSE,4857.05999999482,1
3,3,50,72,TRUE,1448.5050000003,5
3,4,50,72,TRUE,974.454999995942,5
3,5,70,50,TRUE,877.889999996114,5
3,6,50,70,TRUE,1324.83499999944,4
3,7,50,68,FALSE,2962.63999999792,2
3,8,70,50,TRUE,1058.27999999747,5
3,9,50,70,TRUE,1116.52000000322,3
3,10,50,68,TRUE,2235.98499999935,4
3,11,50,68,FALSE,2263.22000000073,2
3,12,70,50,TRUE,1137.84499999747,5
3,13,50,70,TRUE,1172.37999999634,4
3,14,68,50,TRUE,1276.20500000194,4
3,15,68,50,TRUE,1047.14499999682,6
3,16,66,50,TRUE,1263.87499999691,6
3,17,66,50,TRUE,2208.6249999993,6
3,18,50,64,TRUE,1797.22500000207,3
3,19,50,64,FALSE,883.390000002692,6
3,20,66,50,TRUE,1464.13500000199,4
3,21,66,50,TRUE,993.479999997362,4
3,22,50,64,TRUE,872.849999999744,5
3,23,64,50,TRUE,767.380000004778,4
3,24,62,50,TRUE,1031.94999999687,5
3,25,62,50,TRUE,942.009999998845,5
3,26,60,50,TRUE,798.009999998612,6
3,27,50,60,TRUE,1353.79000000103,5
3,28,58,50,FALSE,1231.71000000002,4
3,29,50,60,FALSE,1519.70499999879,3
3,30,62,50,TRUE,1046.0099999982,4
3,31,50,62,TRUE,844.714999999269,5
3,32,60,50,TRUE,1046.44499999995,4
3,33,60,50,TRUE,910.134999998263,4
3,34,58,50,TRUE,1745.24499999825,4
3,35,50,58,FALSE,1416.24999999476,3
3,36,50,60,TRUE,4793.86499999964,1
3,37,50,60,TRUE,1096.61499999493,3
3,38,50,58,TRUE,1034.75500000059,3
3,39,50,58,TRUE,714.140000003681,3
3,40,56,50,TRUE,1366.67000000307,3
3,41,56,50,TRUE,1036.46499999741,3
3,42,54,50,FALSE,1102.09000000032,2
3,43,56,50,TRUE,891.320000002452,3
3,44,50,56,FALSE,1145.64000000246,2
3,45,58,50,TRUE,807.660000005853,3
3,46,58,50,TRUE,1001.00499999826,2
3,47,50,56,TRUE,784.935000003316,4
3,48,56,50,TRUE,895.564999998896,5
3,49,50,54,TRUE,1024.42500000325,5
3,50,50,54,TRUE,743.580000002112,5
3,51,52,50,TRUE,1348.16000000137,3
3,52,52,50,FALSE,1042.30499999539,4
3,53,50,54,TRUE,1103.22499999893,4
3,54,50,54,TRUE,1724.95000000345,2
3,55,52,50,TRUE,831.604999999399,3
3,56,52,50,FALSE,860.224999996717,5
3,57,54,50,TRUE,1072.08499999979,6
3,58,50,54,FALSE,2764.26499999798,2
3,59,56,50,TRUE,1130.16000000061,3
3,60,50,56,TRUE,1351.5699999989,3
3,61,50,54,FALSE,1390.22000000114,3
3,62,56,50,TRUE,1121.31500000396,3
3,63,50,56,TRUE,1533.27500000159,5
3,64,50,54,TRUE,951.520000002347,5
3,65,54,50,TRUE,905.789999997069,6
3,66,52,50,TRUE,1815.9300000043,3
3,67,52,50,FALSE,2324.17999999598,1
3,68,50,54,TRUE,694.230000000971,6
3,69,54,50,TRUE,1122.1499999956,4
3,70,50,52,TRUE,869.120000003022,5
3,71,52,50,FALSE,1317.28499999736,5
3,72,54,50,TRUE,4664.96999999799,1
3,73,50,54,TRUE,742.330000000948,3
3,74,50,52,TRUE,1377.77500000084,3
3,75,52,50,TRUE,1530.52499999467,2
3,76,52,50,FALSE,740.470000004279,2
3,77,50,54,TRUE,1468.7200000044,2
3,78,50,54,TRUE,1495.53500000184,3
3,79,50,52,TRUE,873.924999999872,4
3,80,52,50,TRUE,1297.25499999768,4
3,81,52,50,FALSE,1273.7799999959,4
3,82,54,50,TRUE,822.635000004084,4
3,83,50,54,TRUE,1509.19000000431,4
3,84,50,52,TRUE,4039.85000000102,2
3,85,50,52,FALSE,2208.02499999991,3
3,86,54,50,FALSE,2286.41000000061,2
3,87,50,56,TRUE,1348.62499999872,4
3,88,56,50,TRUE,1934.65999999898,3
3,89,50,54,FALSE,1035.40500000236,3
3,90,56,50,FALSE,1071.35500000004,4
3,91,58,50,TRUE,1190.9650000016,4
3,92,58,50,TRUE,1180.0099999964,4
3,93,56,50,FALSE,1021.61500000511,5
3,94,50,58,TRUE,785.044999996899,5
3,95,58,50,TRUE,860.720000004221,5
3,96,50,56,FALSE,2286.67500000302,3
3,97,58,50,TRUE,798.210000000836,5
3,98,50,58,TRUE,938.950000003388,6
3,99,50,56,TRUE,880.539999998291,6
3,100,50,56,TRUE,845.274999999674,6
3,101,54,50,FALSE,2267.63999999821,4
3,102,50,56,TRUE,865.595000002941,6
3,103,56,50,TRUE,1674.70499999763,3
3,104,50,54,TRUE,728.405000001658,6
3,105,54,50,FALSE,7283.68500000215,3
3,106,50,56,TRUE,624.400000000605,4
3,107,50,56,FALSE,1081.86000000569,3
3,108,58,50,FALSE,578.63499999803,3
3,109,60,50,TRUE,1146.15500000218,4
3,110,60,50,TRUE,1558.90000000363,4
3,111,58,50,TRUE,1205.53999999538,5
3,112,58,50,TRUE,1615.04999999306,4
3,113,50,56,TRUE,921.06000000058,4
3,114,56,50,FALSE,1196.52499999938,5
3,115,50,58,TRUE,840.320000002976,5
3,116,50,58,FALSE,1266.8199999971,4
3,117,60,50,TRUE,1171.3299999974,4
3,118,50,60,TRUE,712.514999999257,3
3,119,58,50,TRUE,1199.58999999653,5
3,120,58,50,FALSE,1197.95999999769,4
4,1,70,50,TRUE,2071.59000000684,2
4,2,50,70,TRUE,1411.13999998197,3
4,3,68,50,TRUE,1038.51000004215,5
4,4,50,68,TRUE,1012.04500003951,5
4,5,50,66,TRUE,1150.51000000676,5
4,6,50,66,TRUE,1380.33999997424,4
4,7,50,64,TRUE,1102.78499999549,5
4,8,64,50,TRUE,1602.07000002265,5
4,9,62,50,TRUE,1471.9150000019,5
4,10,62,50,FALSE,2313.89500002842,4
4,11,64,50,TRUE,1136.39500003774,5
4,12,64,50,TRUE,1684.5500000054,3
4,13,50,62,TRUE,1221.99499997078,3
4,14,62,50,TRUE,1424.37500000233,3
4,15,50,60,TRUE,1802.67999996431,4
4,16,50,60,TRUE,1671.39500001213,3
4,17,58,50,TRUE,1145.4800000065,3
4,18,58,50,TRUE,1400.42000001995,3
4,19,56,50,FALSE,922.015000018291,4
4,20,58,50,FALSE,1369.34000003384,3
4,21,50,60,TRUE,1127.48999998439,3
4,22,60,50,TRUE,946.089999983087,3
4,23,58,50,FALSE,990.419999987353,3
4,24,50,60,TRUE,1018.12500000233,3
4,25,50,60,TRUE,1104.86500000115,4
4,26,50,58,TRUE,1008.39999999152,5
4,27,58,50,FALSE,2204.81999998447,3
4,28,60,50,FALSE,986.704999988433,4
4,29,62,50,TRUE,1387.87999999477,3
4,30,62,50,FALSE,1166.11499997089,4
4,31,64,50,TRUE,1203.73500004644,3
4,32,64,50,FALSE,1395.23499994539,3
4,33,66,50,TRUE,1004.21499996446,3
4,34,50,66,TRUE,1705.84000000963,4
4,35,64,50,TRUE,1093.41000003042,3
4,36,50,64,TRUE,914.135000028182,4
4,37,62,50,FALSE,1168.12500002561,3
